Energy(ev),  Intensity
 996.00 , 45418
 997.00 , 45497
 998.00 , 45474
 999.00 , 45452
 1000.00 , 45593
 1001.00 , 45566
 1002.00 , 45633
 1003.00 , 45600
 1004.00 , 45618
 1005.00 , 45646
 1006.00 , 45656
 1007.00 , 45696
 1008.00 , 45781
 1009.00 , 45748
 1010.00 , 45727
 1011.00 , 45805
 1012.00 , 45871
 1013.00 , 45873
 1014.00 , 45883
 1015.00 , 45859
 1016.00 , 45939
 1017.00 , 45841
 1018.00 , 45931
 1019.00 , 45957
 1020.00 , 46013
 1021.00 , 46015
 1022.00 , 46101
 1023.00 , 46101
 1024.00 , 46120
 1025.00 , 46177
 1026.00 , 46224
 1027.00 , 46192
 1028.00 , 46176
 1029.00 , 46226
 1030.00 , 46299
 1031.00 , 46238
 1032.00 , 46331
 1033.00 , 46304
 1034.00 , 46362
 1035.00 , 46384
 1036.00 , 46385
 1037.00 , 46394
 1038.00 , 46361
 1039.00 , 46463
 1040.00 , 46514
 1041.00 , 46547
 1042.00 , 46543
 1043.00 , 46621
 1044.00 , 46563
 1045.00 , 46572
 1046.00 , 46662
 1047.00 , 46660
 1048.00 , 46640
 1049.00 , 46678
 1050.00 , 46710
 1051.00 , 46759
 1052.00 , 46767
 1053.00 , 46745
 1054.00 , 46791
 1055.00 , 46820
 1056.00 , 46877
 1057.00 , 46844
 1058.00 , 46862
 1059.00 , 46902
 1060.00 , 46962
 1061.00 , 47019
 1062.00 , 46983
 1063.00 , 46988
 1064.00 , 47048
 1065.00 , 47072
 1066.00 , 47074
 1067.00 , 47048
 1068.00 , 47167
 1069.00 , 47241
 1070.00 , 47189
 1071.00 , 47192
 1072.00 , 47249
 1073.00 , 47228
 1074.00 , 47280
 1075.00 , 47284
 1076.00 , 47351
 1077.00 , 47375
 1078.00 , 47314
 1079.00 , 47418
 1080.00 , 47398
 1081.00 , 47462
 1082.00 , 47496
 1083.00 , 47604
 1084.00 , 47589
 1085.00 , 47585
 1086.00 , 47620
 1087.00 , 47675
 1088.00 , 47652
 1089.00 , 47647
 1090.00 , 47725
 1091.00 , 47725
 1092.00 , 47755
 1093.00 , 47725
 1094.00 , 47777
 1095.00 , 47823
 1096.00 , 47818
 1097.00 , 47850
 1098.00 , 47920
 1099.00 , 47906
 1100.00 , 47928
 1101.00 , 47964
 1102.00 , 47901
 1103.00 , 48018
 1104.00 , 47944
 1105.00 , 47976
 1106.00 , 48036
 1107.00 , 48042
